config,drift_rate,center_scale,surface,alpha,beta,grid_name,log_range,training_range,eval_budget,true_D,inferred_D,abs_error,rel_error_pct
"Baseline",0.0,1.0,Symmetric,0.31,0.31,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904640633e+11,2.002563476562500e-01,0.000000000049053
"Baseline",0.0,1.0,Symmetric,0.31,0.31,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904638362e+11,-2.685546875000000e-02,-0.000000000006578
"Baseline",0.0,1.0,Symmetric,0.31,0.31,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904638746e+11,1.153564453125000e-02,0.000000000002826
"Baseline",0.0,1.0,Symmetric,0.31,0.31,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.082482904638630e+11,4.082482904640399e+11,1.768798828125000e-01,0.000000000043327
"Baseline",0.0,1.0,Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.035834749563681e+12,4.022640080071175e+12,-1.319466949250537e+10,-0.326937803732719
"Baseline",0.0,1.0,Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.035834749563681e+12,3.983323492914587e+12,-5.251125664909375e+10,-1.301125043704300
"Baseline",0.0,1.0,Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.035834749563681e+12,3.918678311395280e+12,-1.171564381684004e+11,-2.902904738135434
"Baseline",0.0,1.0,Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.035834749563681e+12,3.829997307632958e+12,-2.058374419307222e+11,-5.100244551712022
"Baseline",0.0,1.0,Asymmetric,0.46499999999999997,0.155,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.510334355952566e+16,4.434797634319416e+16,-7.553672163314960e+14,-1.674747716507073
"Baseline",0.0,1.0,Asymmetric,0.46499999999999997,0.155,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.510334355952566e+16,4.217262808974590e+16,-2.930715469779760e+15,-6.497778742083532
"Baseline",0.0,1.0,Asymmetric,0.46499999999999997,0.155,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.510334355952566e+16,3.882927967488314e+16,-6.274063884642520e+15,-13.910418584294648
"Baseline",0.0,1.0,Asymmetric,0.46499999999999997,0.155,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.510334355952566e+16,3.467711572211202e+16,-1.042622783741363e+16,-23.116308048545221
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.082482904638630e+11,4.330329296629141e+11,2.478463919905103e+10,6.070971949665736
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.082482904638630e+11,4.293594960061901e+11,2.111120554232709e+10,5.171168143371758
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.082482904638630e+11,4.233449170507438e+11,1.509662658688080e+10,3.697903197519233
"Drift to 3×",0.47712125471966244,1.0,Symmetric,0.31,0.31,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.082482904638630e+11,4.151438757202593e+11,6.895585256396240e+09,1.689066535602950
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.035834749563681e+12,4.504566829000340e+12,4.687320794366592e+11,11.614253519357661
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.035834749563681e+12,4.432623377869933e+12,3.967886283062520e+11,9.831637143942757
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.035834749563681e+12,4.315883700538125e+12,2.800489509744443e+11,6.939058914756627
"Drift to 3×",0.47712125471966244,1.0,Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.035834749563681e+12,4.158830754490464e+12,1.229960049267837e+11,3.047597648542992
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.510334355952566e+16,6.069765266782697e+16,1.559430910830131e+16,34.574618814502173
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.510334355952566e+16,5.865168157587590e+16,1.354833801635024e+16,30.038433843534605
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.510334355952566e+16,5.546299036327943e+16,1.035964680375378e+16,22.968689206115091
"Drift to 3×",0.47712125471966244,1.0,Asymmetric,0.46499999999999997,0.155,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.510334355952566e+16,5.141644796779622e+16,6.313104408270560e+15,13.996976521128124
"Offset 3×",0.0,3.0,Symmetric,0.31,0.31,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.082482904638630e+11,4.244730718437291e+11,1.622478137986609e+10,3.974243556888148
"Offset 3×",0.0,3.0,Symmetric,0.31,0.31,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.082482904638630e+11,4.224219276128955e+11,1.417363714903247e+10,3.471817881448564
"Offset 3×",0.0,3.0,Symmetric,0.31,0.31,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.082482904638630e+11,4.190471331132362e+11,1.079884264937317e+10,2.645165430356910
"Offset 3×",0.0,3.0,Symmetric,0.31,0.31,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.082482904638630e+11,4.144119915542275e+11,6.163701090364441e+09,1.509792259842919
"Offset 3×",0.0,3.0,Chinchilla,0.34,0.28,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.035834749563681e+12,4.322787400631939e+12,2.869526510682588e+11,7.110118943776913
"Offset 3×",0.0,3.0,Chinchilla,0.34,0.28,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.035834749563681e+12,4.265511774986103e+12,2.296770254224224e+11,5.690942262867751
"Offset 3×",0.0,3.0,Chinchilla,0.34,0.28,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.035834749563681e+12,4.172088880897259e+12,1.362541313335786e+11,3.376107789059233
"Offset 3×",0.0,3.0,Chinchilla,0.34,0.28,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.035834749563681e+12,4.045435227510737e+12,9.600477947056152e+09,0.237880848518242
"Offset 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"XS (±2×)",0.3010299956639812,1e17-1e21,1e+24,4.510334355952566e+16,5.377273818771581e+16,8.669394628190152e+15,19.221179504682659
"Offset 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"S (±4×)",0.6020599913279624,1e17-1e21,1e+24,4.510334355952566e+16,5.160438683341485e+16,6.501043273889192e+15,14.413661517819328
"Offset 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"L (±8×)",0.9030899869919435,1e17-1e21,1e+24,4.510334355952566e+16,4.824225048547561e+16,3.138906925949952e+15,6.959366375593294
"Offset 3×",0.0,3.0,Asymmetric,0.46499999999999997,0.155,"XL (±16×)",1.2041199826559248,1e17-1e21,1e+24,4.510334355952566e+16,4.400977998376982e+16,-1.093563575755840e+15,-2.424573190039884
