method,n_noise_levels,n_budgets,n_points_per_curve,total_fits,min,gmean,max,max_a,max_b,n_maxiter,n_abnormal,n_bound_hit,n_fail,top1,top2,top3,top4,top5,top6,top7,top8
Chinchilla Approach 2,3,3,4,1152,0.014276992442940895,4.597220499746557,108.64020327703172,108.64020327703172,36.213401092342146,0,0,0,0,108.64020327703172,74.3987933234547,50.94378681854656,50.07928446705077,47.2166579658408,40.84132175330848,40.40070811285539,36.213401092342146
Chinchilla Approach 3 (grid init),3,3,4,1152,0.00012525443919090645,1.0762084542781252,36.836342551484044,36.836342551484044,12.278780850494691,0,233,2,0,36.836342551484044,36.09996513976402,35.28565172928826,34.47617024138937,33.826959796292186,33.246171252173795,32.775480066472426,32.573349161374225
Chinchilla Approach 3 (random init),3,3,4,1152,0.00012580386653896863,14.596456136107943,295.99928826531334,295.99928826531334,98.66642942177111,1,171,50,0,295.99928826531334,225.94095629728156,217.76080303290973,217.4914070784706,213.43448136108117,206.57937492983848,197.19293796545765,194.97461534686894
VPNLS,3,3,4,1152,0.00012521634253914726,0.9689854161102546,29.587541714624656,29.587541714624656,9.862513904874886,246,0,2,0,29.587541714624656,26.232364632108897,24.005066850850774,22.05528699692684,21.88048634728822,20.113531683346974,18.488879054960083,18.396158863004363
